2025-12-30 16:21:03,330 [INFO] memory_bandwidth=400, global_buffer_bandwidth=234, buffer_size=2.06
2025-12-30 16:21:03,362 [INFO] memory_bandwidth=400, global_buffer_bandwidth=234, buffer_size=2.25
2025-12-30 16:21:03,387 [INFO] memory_bandwidth=400, global_buffer_bandwidth=234, buffer_size=3.12
2025-12-30 16:21:03,406 [INFO] memory_bandwidth=400, global_buffer_bandwidth=234, buffer_size=3.5
2025-12-30 16:21:03,423 [INFO] memory_bandwidth=400, global_buffer_bandwidth=234, buffer_size=4.25
2025-12-30 16:21:03,443 [INFO] memory_bandwidth=400, global_buffer_bandwidth=234, buffer_size=5.0
2025-12-30 16:21:03,475 [INFO] memory_bandwidth=400, global_buffer_bandwidth=234, buffer_size=6.5
2025-12-30 16:21:03,507 [INFO] memory_bandwidth=400, global_buffer_bandwidth=234, buffer_size=8.0
2025-12-30 16:21:03,538 [INFO] memory_bandwidth=400, global_buffer_bandwidth=234, buffer_size=9.0
2025-12-30 16:21:03,569 [INFO] memory_bandwidth=400, global_buffer_bandwidth=234, buffer_size=12.0
2025-12-30 16:21:03,606 [INFO] memory_bandwidth=400, global_buffer_bandwidth=234, buffer_size=14.0
2025-12-30 16:21:03,640 [INFO] memory_bandwidth=400, global_buffer_bandwidth=234, buffer_size=20.0
2025-12-30 16:21:03,680 [INFO] memory_bandwidth=400, global_buffer_bandwidth=234, buffer_size=24.0
2025-12-30 16:21:03,722 [INFO] memory_bandwidth=400, global_buffer_bandwidth=234, buffer_size=28.0
2025-12-30 16:21:03,774 [INFO] memory_bandwidth=400, global_buffer_bandwidth=234, buffer_size=32.0
2025-12-30 16:21:03,819 [INFO] memory_bandwidth=400, global_buffer_bandwidth=234, buffer_size=40.0
2025-12-30 16:21:03,861 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=0.38
2025-12-30 16:21:03,898 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=0.52
2025-12-30 16:21:03,938 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=0.76
2025-12-30 16:21:03,989 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=0.78
2025-12-30 16:21:04,029 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=1.02
2025-12-30 16:21:04,065 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=1.06
2025-12-30 16:21:04,111 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=1.53
2025-12-30 16:21:04,163 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=1.62
2025-12-30 16:21:04,209 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=2.06
2025-12-30 16:21:04,244 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=2.25
2025-12-30 16:21:04,289 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=3.12
2025-12-30 16:21:04,322 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=3.5
2025-12-30 16:21:04,360 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=4.25
2025-12-30 16:21:04,397 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=5.0
2025-12-30 16:21:04,465 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=6.5
2025-12-30 16:21:04,522 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=8.0
2025-12-30 16:21:04,564 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=9.0
2025-12-30 16:21:04,617 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=12.0
2025-12-30 16:21:04,687 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=14.0
2025-12-30 16:21:04,736 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=20.0
2025-12-30 16:21:04,772 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=24.0
2025-12-30 16:21:04,831 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=28.0
2025-12-30 16:21:04,912 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=32.0
2025-12-30 16:21:04,963 [INFO] memory_bandwidth=400, global_buffer_bandwidth=347, buffer_size=40.0
2025-12-30 16:21:05,025 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=0.38
2025-12-30 16:21:05,084 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=0.52
2025-12-30 16:21:05,183 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=0.76
2025-12-30 16:21:05,251 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=0.78
2025-12-30 16:21:05,329 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=1.02
2025-12-30 16:21:05,403 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=1.06
2025-12-30 16:21:05,481 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=1.53
2025-12-30 16:21:05,550 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=1.62
2025-12-30 16:21:05,620 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=2.06
2025-12-30 16:21:05,686 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=2.25
2025-12-30 16:21:05,778 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=3.12
2025-12-30 16:21:05,865 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=3.5
2025-12-30 16:21:05,964 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=4.25
2025-12-30 16:21:06,069 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=5.0
2025-12-30 16:21:06,155 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=6.5
2025-12-30 16:21:06,253 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=8.0
2025-12-30 16:21:06,317 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=9.0
2025-12-30 16:21:06,386 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=12.0
2025-12-30 16:21:06,448 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=14.0
2025-12-30 16:21:06,517 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=20.0
2025-12-30 16:21:06,582 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=24.0
2025-12-30 16:21:06,659 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=28.0
2025-12-30 16:21:06,745 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=32.0
2025-12-30 16:21:06,829 [INFO] memory_bandwidth=400, global_buffer_bandwidth=459, buffer_size=40.0
2025-12-30 16:21:06,908 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=0.38
2025-12-30 16:21:07,001 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=0.52
2025-12-30 16:21:07,071 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=0.76
2025-12-30 16:21:07,150 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=0.78
2025-12-30 16:21:07,226 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=1.02
2025-12-30 16:21:07,311 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=1.06
2025-12-30 16:21:07,384 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=1.53
2025-12-30 16:21:07,459 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=1.62
2025-12-30 16:21:07,546 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=2.06
2025-12-30 16:21:07,642 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=2.25
2025-12-30 16:21:07,731 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=3.12
2025-12-30 16:21:07,793 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=3.5
2025-12-30 16:21:07,880 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=4.25
2025-12-30 16:21:07,981 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=5.0
2025-12-30 16:21:08,082 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=6.5
2025-12-30 16:21:08,175 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=8.0
2025-12-30 16:21:08,261 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=9.0
2025-12-30 16:21:08,366 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=12.0
2025-12-30 16:21:08,442 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=14.0
2025-12-30 16:21:08,542 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=20.0
2025-12-30 16:21:08,619 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=24.0
2025-12-30 16:21:08,714 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=28.0
2025-12-30 16:21:08,799 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=32.0
2025-12-30 16:21:08,901 [INFO] memory_bandwidth=400, global_buffer_bandwidth=572, buffer_size=40.0
2025-12-30 16:21:08,980 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=0.38
